Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
243077922947231744,#Guardado dice que #México tiene que cuidarse de las jugadas a balón parado de #CostaRica http://t.co/w3m222sP vía @vivelohoy,Not labeled,Not labeled,Not related
243080489890619392,"#deprem M 1.5, Central California: September 04, 2012 20:12:08 GMT http://t.co/9nGWG6CA #earthquake",Not labeled,Not labeled,Not related
243083019055927296,"地震情報 M 5.1, Taiwan region http://t.co/8xtmJmmB #earthquake",Not labeled,Not labeled,Not applicable
243097225134219264,#earthquake mb 5.1  TAIWAN REGION: Magnitude  mb 5.1Region  TAIWAN REGIONDate time  2012-09-04   20:00:17.0 UTCL... http://t.co/VwzB34fM,Not labeled,Not labeled,Not related
243113624896413696,Tenemos claro Costa Rica no será un rival sencillo: De Nigris. En ... - RadioFórmula http://t.co/PUvCbuKD #CostaRica,Not labeled,Not labeled,Not related
243121539552256001,"#Earthquake M 4.8, south of Bali, Indonesia: September 04, 2012 21:19:30 GMT http://t.co/iEelaYGO",Not labeled,Not labeled,Not applicable
243148357902675969,"#Earthquake# M 4.6, 105km NNE of Road Town, British Virgin Islands: Wednesday, September 05, 2012 00:24:51 UTCTuesday, September 04, ...",Not labeled,Not labeled,Not related
243152791290392576,"RT @INGVterremoti: #terremoto Ml:2.4 2012-09-05 00:46:47 UTC Lat=39.88 Lon=16.02 Prof=8.9Km Prov=POTENZA,COSENZA",Not labeled,Not labeled,Not related
243155538555334656,Argentina recibió a sus internacionales de cara al partido ante Paraguay http://t.co/GLyAl3JE  #costarica,Not labeled,Not labeled,Not related
243157258232549377,"【#USGS #alert】 M 5.2, Virgin Islands region: September 05, 2012 00:24:48 GMT http://t.co/PyDz9JZS #earthquake #tsunami #prayfromjapan",Not labeled,Not labeled,Not related
243157707027259393,"#Earthquake Magnitude  mb 4.8Region  SOUTH OF JAVA, INDONESIADate time  2012-09-05   00:48:09.0 UTCLocation  10.... http://t.co/9gHi5gnM",Not labeled,Not labeled,Not related
243159334404636672,#terremoto #Attualita - TERREMOTO IN EMILIA:TRE MESI DOPO.. (myazaky) http://t.co/eWmqlLmn #sismografo,Not labeled,Not labeled,Not related
243198739882332161,"#earthquake: M 4.5, Taiwan region http://t.co/7FmNQZdm",Not labeled,Not labeled,Not applicable
243203924050448384,"#earthquake M 2.6, Hawaii region, Hawaii http://t.co/S2GbQIaO",Not labeled,Not labeled,Not applicable
243212388155916288,RT @INGVterremoti: #terremoto Ml:3.2 2012-09-05 03:09:12 UTC Lat=39.10 Lon=17.25 Prof=22.2Km Prov=Southern Italy,Not labeled,Not labeled,Not applicable
243292902007128064,5日19時2分頃 - 最大震度 1 - 震源地 宮城県沖 http://t.co/tkC7elc6 #地震 #earthquake,Not labeled,Not labeled,Not applicable
243336204010012672,"#Earthquake #EMSC M  4.5  KEPULAUAN BABAR, INDONESIA: Magnitude  M  4.5Region  KEPULAUAN BABAR, INDONES... http://t.co/6EAiC1Eo #Tameemi",Not labeled,Not labeled,Not related
243338628313534464,RT @itsDavila - Photo: #bay #beach #sanjuandelsur #sur  #costarica #summer #vacation #verano #azul #plya #mounta... http://t.co/OPq2VRTz,Not labeled,Not labeled,Not related
243338968047955968,"#terremoto M 2.8, Central California - Wednesday, September  5, 2012 12:31:07 UTCWednesday, September  5, 2012 05:31... http://t.co/SJLeuCZR",Not labeled,Not labeled,Not related
243354147234123777,"EarthquakeCalifornia Minor earthquake near Sparta, Ill., felt in Metro East - http://t.co/fuWMRvIW http://t.co/W826GJrH #earthquake",Not labeled,Not labeled,Not related
243359297843650560,Que #temblorcr mas largo y raro....,Eyewitness,Other Useful Information,Related - but not informative
243359545332731904,Duró como 15 minutos #temblorCR,Outsiders,Other Useful Information,Related and informative
243359583056310272,#temblorcr en Rohrmoser se sintió muy fuerte y se quebraron cosas. @nacion,Media,Other Useful Information,Related and informative
243359604032020480,RT @3U22: #temblorcr se sintió muy muy fuerte ! #semesalioelcerote,Outsiders,Other Useful Information,Related - but not informative
243359838925627392,siempre me agarra el #temblorcr cuando reviso twitter! jajaja cosas de la vida,Eyewitness,Other Useful Information,Related - but not informative
243359880847691776,En #Desamparados #TemblorCR fuerte y prolongado.,Media,Other Useful Information,Related - but not informative
243360212227092482,Temblor en el segundo piso de la #ECCI #UCR (un edificio viejo que se mueve demasiado) es otra cosa! #temblorcr,Eyewitness,Infrastructure and utilities,Related - but not informative
243360283526045696,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Media,Other Useful Information,Related and informative
243360354795671553,"RT @Gorileo: 7.9	3km NE of Samara, Costa Rica	2012-09-05 14:42:10 #TemblorCR",Outsiders,Other Useful Information,Related - but not informative
243360510010068994,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Media,Other Useful Information,Related and informative
243360585494974464,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Media,Other Useful Information,Related and informative
243360887497449473,Muy fuerte #temblorcr en guadalupe con caídas de objetos @ameliarueda @RadioReloj ,Media,Infrastructure and utilities,Related - but not informative
243361084629721088,"RT @Reuters: More: 7.9-magnitude earthquake rattles coastline of Costa Rica, USGS says - http://t.co/9YqdEq9g",Media,Other Useful Information,Related and informative
243361139130503168,"@DBeitia 7.9 earthquake, of the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http://t.co/jXpQHBwd",Media,Other Useful Information,Related and informative
243361147519127553,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Media,Other Useful Information,Related and informative
243361269166534656,"Preliminar 6.7 escala Richter, epicentro Cangrejal d Nicoya #TemblorCR",Not applicable,Other Useful Information,Related and informative
243361298518249473,Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Outsiders,Other Useful Information,Related and informative
243361403409428480,RT @reuters: CARIBBEAN-WIDE TSUNAMI WATCH IN EFFECT AFTER COSTA RICAN QUAKE - PACIFIC TSUNAMI WARNING CENTER,Media,Caution and advice,Related and informative
243361533420240896,#temblorcr Fuerte sismo también se sintió en territorio nicaraguense,Outsiders,Other Useful Information,Related and informative
243361600516521984,Combo #Fessenheim / #earthquake . Coïncidence ? #parano #théorieducomplot,Not labeled,Not labeled,Not related
243361642447007744,RT @Reuters: Live coverage: 7.9-magnitude earthquake rattles the coast of Costa Rica; tsunami watch for Caribbean in effect - http://t.c ...,Media,Caution and advice,Related and informative
243361697002299392,"デカイな。でかすぎるぜ、ベクテル！http://t.co/SvC7zoN5　RTx2:　@NewEarthquake  7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am　http://t.co/mwsMLQ3Z",Media,Other Useful Information,Related and informative
243361759912681472,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Media,Other Useful Information,Related and informative
243361789260210176,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243361810235928576,"RT @AlertaNews: URGENTE: Terremoto en Costa Rica de 7.9º AVISO DE TSUNAMI: Costa Rica, Panama, Nicaragua, El Salvador, Honduras, Mexico, ...",Media,Caution and advice,Related and informative
243361831194857472,En mi Ksa se salió el agua de la pecera y se cayeron adornos #temblorcr,Eyewitness,Affected individuals,Related - but not informative
243361915110297600,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Media,Other Useful Information,Related and informative
243361965420998657,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243361990591000576,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Media,Other Useful Information,Related and informative
243362028360712192,"RT @24HorasTVN: AHORA: Terremoto de 7,9 en #CostaRica/ Ampliamos en http://t.co/wdjXMzjN",Media,Other Useful Information,Related and informative
243362040939429888,RT @AlertNet: 7.9 magnitude earthquake strikes Costa Rica - USGS via @Reuters #quake,Media,Other Useful Information,Related and informative
243362053497159680,"RT @JRIbarra: Terremoto en Costa Rica, amigos en el exterior: la capital se encuentra sin daños importants de momento. sentido en todo e ...",Media,Other Useful Information,Related and informative
243362053518131200,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters #lgf #p2",Media,Caution and advice,Related and informative
243362108035719168,RT @Reuters: Live coverage: 7.9-magnitude earthquake rattles the coast of Costa Rica; tsunami watch for Caribbean in effect - http://t.c ...,Media,Caution and advice,Related and informative
243362108048302080,"@MARACAYINFORMA Terremoto en Costa Rica, De magnitud 7,9.",Media,Other Useful Information,Related and informative
243362145784446976,"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",Media,Caution and advice,Related and informative
243362158367371265,#temblorcr Having a laugh our bum off of http://t.co/4Ql5g1Qh,Outsiders,Sympathy and support,Related - but not informative
243362175148773377,Costa Rican shaken by magnitude-5.8 earthquake http://t.co/454IrRdA #costarica,Outsiders,Other Useful Information,Related and informative
243362183533187073,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Media,Other Useful Information,Related and informative
243362233877409792,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243362280002170880,"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",Media,Other Useful Information,Related and informative
243362288403369984,"RT @Reuters: More: 7.9-magnitude earthquake rattles coastline of Costa Rica, USGS says - http://t.co/9YqdEq9g",Media,Other Useful Information,Related and informative
243362300961107968,"RT @RT_com: BREAKING: 7.9 - magnitude earthquake strikes off the coast of Costa Rica, Caribbean-wide tsunami watch in effect - details t ...",Media,Caution and advice,Related and informative
243362300973686784,RT @Reuters: Live coverage: 7.9-magnitude earthquake rattles the coast of Costa Rica; tsunami watch for Caribbean in effect - http://t.c ...,Media,Caution and advice,Related and informative
243362393227415552,Movida de bote #temblorcr: http://t.co/IcVehVkz,Eyewitness,Other Useful Information,Related - but not informative
243362393252560896,"Terremoto  7.9º En Costa Rica  Autoridades Locales entregan detalles de 6.7º, No se reportan mayores informaciones.",Government,Other Useful Information,Related and informative
243362405831286784,#temblor @NewEarthquake: #Tsunami  Warning (Pacific): TSUNAMI WARNING IN EFFECT FOR COSTA RICA/PANAMA/NICARAGUA/... http://t.co/miWv9UbZ,Media,Caution and advice,Related and informative
243362410038190080,"La alerta de tsunami a causa del terremoto en Costa Rica llega hasta Ecuador, ¿nos salvamos? ._.",Outsiders,Caution and advice,Related and informative
243362414198939650,RT @MIGAND75: Ahora #CostaRica se cimbra con fuerte #sismo de 7.9,Media,Other Useful Information,Related and informative
243362468758450177,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Media,Other Useful Information,Related and informative
243362472923377667,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243362489729966081,Alerta de Tsunami en todo la costa de Costa Rica terremoto 7.9,Media,Caution and advice,Related and informative
243362577801936897,"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",Media,Other Useful Information,Related and informative
243362628141977600,"Terremoto de magnitud 7,9 en Costa Rica",Outsiders,Other Useful Information,Related and informative
243362640708108289,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243362649100931072,RT @AlertNet: Strong earthquake hits Costa Rica http://t.co/sxICdjwl #costarica #quake,Media,Other Useful Information,Related and informative
243362745553149953,RT @cnnbrk: 7.9-magnitude #earthquake hits off coast of Costa Rica. http://t.co/i7KZ1uZX,Media,Other Useful Information,Related and informative
243362774934228992,"RT @GuillermoARuiz: Terremoto en Costa Rica: RT @nacion  Según USGS el sismo habría sido de 7,9 grados con epicentro en #Guanacaste",Outsiders,Other Useful Information,Related and informative
243362783322861568,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243362812657811456,RT @cnnbrk: 7.9-magnitude #earthquake hits off coast of Costa Rica. http://t.co/i7KZ1uZX,Media,Caution and advice,Related and informative
243362837823647744,"RT @Meganoticiascl: EN DESARROLLO Terremoto 7,9 grados se registró en Costa Rica. Activan alerta de Tsunami para Centro América y Sudamé ...",Media,Caution and advice,Related and informative
243362942718992384,"@elsalvadorcom: Según USGS, sismo de 7.9 se sintió hace unos minutos (8:42 am) en #CostaRica con epicentro en Guanacaste.",Media,Caution and advice,Related and informative
243362997215571968,@RobertaCBS5: Breaking: 7.9 #earthquake off Costa Rica coast. #Tsunmai WARNING for west coasts of Central America.,Media,Caution and advice,Related and informative
243363055944232960,7.9 magnitude earthquake hits Costa Rica #earthquake,Media,Other Useful Information,Related and informative
243363064332840961,RT @espinozajs: sismo de 7.9 FUE A 12.4 millas de profundidad #CostarICA,Media,Other Useful Information,Related and informative
243363185976025089,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Media,Other Useful Information,Related and informative
243363190149361664,RT @AndreaAristegui: SHOA publica alerta de tsunami para las costas de Chile tras terremoto en Costa Rica. http://t.co/MYzaVoz0,Media,Caution and advice,Related and informative
243363215340363776,"RT @AlertaNews: URGENTE: Terremoto en Costa Rica de 7.9º AVISO DE TSUNAMI: Costa Rica, Panama, Nicaragua, El Salvador, Honduras, Mexico, ...",Media,Caution and advice,Related and informative
243363236316065792,"Uf! Terremoto en Costa Rica de 7,9 Richter...a 10 km de profundidad",Outsiders,Other Useful Information,Related and informative
243363244704677888,Birth pangs. 7.9 earthquake in Costa Rica,Outsiders,Other Useful Information,Related - but not informative
243363261469323264,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243363299201253376,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243363303424917506,"Dice @julio2j: : URGENTE// Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos (vía @CNNE)",Media,Other Useful Information,Related and informative
243363332789268480,"Terremoto de magnitud 7,9 sacude Costa Rica http://t.co/ahyVzKAy vía @wordpressdotcom",Media,Other Useful Information,Related and informative
243363345342791681,RT @UniNoticias: Sismo 7.9 en  #CostaRica. Se activa alerta de Tsunami.,Media,Caution and advice,Related and informative
243363391496937472,RT @elmundoes: Un terremoto de magnitud 7.9 sacude Costa Rica,Media,Other Useful Information,Related and informative
243363399868747777,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243363433431588864,Algún amigo en Costa Rica?? Todo bien por allá? #terremoto,Outsiders,Sympathy and support,Related - but not informative
243363433444151296,Alerta informativa... decretan alerta de tsunami luego de terremoto de magnitud 7.9 grados que azotó Costa Rica,Media,Caution and advice,Related and informative
243363487944937472,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Media,Other Useful Information,Related and informative
243363513135943680,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243363588637597697,RT @CANAL15NIC: #Nicaragua. Alerta de #tsunami en el pacífico tras #temblor con epicentro en Costa Rica. http://t.co/TL81VGDr,Media,Caution and advice,Related and informative
243363597026201600,RT @mauropalma: SHOA anuncia en su página web de alerta de tsunami para las costas chilenas tras terremoto en Costa Rica http://t.co/BTc ...,Media,Caution and advice,Related and informative
243363647324311554,RT @ShArrrw: Y yo creo q los mayas si la van a pegar!! #TemblorCR,Not applicable,Other Useful Information,Related - but not informative
243363655750656001,Oh! any damage report? RT @Nids_ShriKant: 7.9 earthquake in Costa Rica..!! Now,Outsiders,Other Useful Information,Related and informative
243363672506896384,A Caribbean-wide tsunami watch is in effect after a 7.9-magnitude earthquake struck Costa Rica. #KeepSafe #GodBless,Outsiders,Caution and advice,Related and informative
243363680916488192,"costa rica earthquake 7,9SR",Outsiders,Not applicable,Related and informative
243363685098196994,Terremoto en Costa Rica puta madre 7.9,Not applicable,Other Useful Information,Related and informative
243363689271554049,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243363693491019776,"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8",Media,Other Useful Information,Related and informative
243363760599859200,Terremoto de 7.9 en Costa Rica! Que Dios los Cuide!,Outsiders,Sympathy and support,Related - but not informative
243363781554606080,RT @Reuters: CHILE'S NAVY SAYS DECLARES TSUNAMI ALERT WARNING FOR CHILEAN COAST FOLLOWING COSTA RICA QUAKE,Media,Caution and advice,Related and informative
243363815134199808,"@CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil #colombia",Media,Caution and advice,Related and informative
243363836088963072,"RT @marcelinotv: URGENTE: #Terremoto en #CostaRica originó breve alerta de tsunami, que ya fue cancelada para Chile",Media,Caution and advice,Related and informative
243363857047887873,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243363857056296960,RT@elmundoes: Un terremoto de magnitud 7.9 sacude Costa Rica,Media,Other Useful Information,Related and informative
243363857068855296,@CNNChile: AHORA: Terremoto magnitud 7.9 en Costa Rica,Media,Other Useful Information,Related and informative
243363878048772096,RT @teleSURtv: #UltimoMinuto: Autoridades de #CostaRica aún no reportan de víctimas o daños por sismo de M 7.9,Media,Other Useful Information,Related and informative
243363903202017282,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243363907387928576,RT @CP24: BREAKING: Coast of Costa Rica hit by a 7.9 magnitude earthquake. Tsunami warning in effect. No word of any damage/injuries.,Media,Caution and advice,Related and informative
243363924186120194,RT @Jota_MB: Alerta de tsunami para las costas chilenas por el terremoto en Costa Rica!,Outsiders,Caution and advice,Related and informative
243363945157648384,RT @DiarioLaHora: AHORA: SHOA decreta alerta de tsunami para la costa chilena tras terremoto en Costa Rica.,Media,Caution and advice,Related and informative
243363961926459392,RT @BBCWorld: Magnitude 7.9 #earthquake hits #CostaRica - USGS. Details soon: http://t.co/TcpLwxJJ,Media,Other Useful Information,Related and informative
243364003877896192,"RT @24HorasTVN: AHORA: SHOA publica en este momento, que hay alerta de tsunami para #Chile por terremoto en #CostaRica http://t.co/N3brPnyY",Media,Caution and advice,Related and informative
243364079371161600,RT @abc_es: ÚLTIMA HORA: Un terremoto de magnitud 7.9 sacude Costa Rica,Media,Other Useful Information,Related and informative
243364154843475968,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243364163261444098,"Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil",Media,Caution and advice,Related and informative
243364175819182080,"RT @el_pais: ÚLTIMA HORA: Un terremoto de 7,9 de magnitud sacude el noroeste de Costa Rica http://t.co/cWfeW9vF Más en http://t.co/yu47rCQF",Media,Other Useful Information,Related and informative
243364184228757504,"RT @TWCBreaking: Mag. 7.9 #earthquake just off the coast of Costa Rica.  #Tsunami warnings for Pacific Coast of Mexico, C. America. S. A ...",Media,Caution and advice,Related and informative
243364263891189760,"7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter RT @NewEarthquake",Media,Other Useful Information,Related and informative
243364263899574273,"ÚLTIMA HORA: Un terremoto de 7,9 de magnitud sacude el noroeste de Costa Rica",Outsiders,Caution and advice,Related and informative
243364364562886656,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Media,Caution and advice,Related and informative
243364419088809984,"RT @fetcheves: URGENTE: Fuerte terremoto en Costa Rica. Alerta de Tsunami para Costa Rica, Barbados,México,Brasil,Guyana Francesa y Caribe",Media,Caution and advice,Related and informative
243364427485822977,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243364461027659780,RT “@BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS”,Media,Caution and advice,Related and informative
243364490417147905,RT @AlertaNews: ALERTA DE TSUNAMI PARA LAS COSTAS DE CHILE por terremoto en Costa Rica. SHOA,Media,Caution and advice,Related and informative
243364507160809473,"RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/KnPs5R2R",Media,Caution and advice,Related and informative
243364544943099904,"Terremoto de magnitud 7,9 sacude Costa Rica http://t.co/MJWM02Vf #cnn vía @CNNEE",Media,Other Useful Information,Related and informative
243364574273875968,RT @bailskilo: Pray for the people of Costa Rica! 7.9 earthquake and tsunami warning :(,Outsiders,Sympathy and support,Related - but not informative
243364616221122560,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Media,Other Useful Information,Related and informative
243364628791451648,RT @cnnbrk: 7.9-magnitude #earthquake hits off coast of Costa Rica. http://t.co/i7KZ1uZX,Media,Other Useful Information,Related and informative
243364628812410880,"RT @CNNEE Urgente: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de EE.UU.",Media,Other Useful Information,Related and informative
243364700094595073,"Terremoto de 7,9 sacude costa rica... Seguira el Perú?? .. xS",Outsiders,Sympathy and support,Related and informative
243364704293117952,"RT @YahooNews: BREAKING: Magnitude 7.9 earthquake strikes off the coast of Costa Rica, tsunami watch for Caribbean, Reuters reports",Media,Caution and advice,Related and informative
243364708491616257,"RT @24HorasTVN: AHORA: SHOA publica en este momento, que hay alerta de tsunami para #Chile por terremoto en #CostaRica http://t.co/N3brPnyY",Media,Caution and advice,Related and informative
243364733661634560,Aviso de tsunami en el caribe tras un terremoto de 7.9 cerca de costa rica,Outsiders,Caution and advice,Related and informative
243364754624741377,"RT @NewEarthquake: Revised (7.9 -&gt; 7.6): 7.6 earthquake, Costa Rica. Sep 5 8:42am at epicenter (24m ago, 60km SSE of Liberia, depth 4 ...",Media,Other Useful Information,Related and informative
243364821750403072,RT @reddeemergencia: URGENTE SNAM DECLARA ALERTA DE TSUNAMI PARA COSTAS DE CHILE POR TERREMOTO EN 7.9 RICHTER EN COSTA RICA @BIOBIO,Media,Caution and advice,Related and informative
243364834316537857,"Terremoto de magnitud 7,9 sacude Costa Rica http://t.co/mayyIaLg",Outsiders,Other Useful Information,Related and informative
243364901446356992,"RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...",Media,Caution and advice,Related and informative
243364922426286080,RT @SkyAlertMx: Muy fuerte terremoto de 7.9 en Costa Rica #SismoEnVivo http://t.co/uKK0pwM4,Media,Other Useful Information,Related and informative
243364951778029568,RT @Los_Mayas_: Por la prueba en #CostaRica no se descarta posibilidad de tsunami desde #Centroamérica hasta #Chile. Atentos todos.,Outsiders,Caution and advice,Related and informative
243364993712652288,RT @NoticiasCaracol: ÚLTIMA HORA Terremoto de 7.9 grados en Costa Rica. Hay alerta de tsunami,Media,Caution and advice,Related and informative
243365027271290880,"Terremoto de 7,9 grados Richter azota Costa Rica y el Shoa transmite alerta de tsunami preventiva para costas chilenas http://t.co/QEMiQGqF",Media,Caution and advice,Related and informative
243365035659902976,RT @Los_Mayas_: Por la prueba en #CostaRica no se descarta posibilidad de tsunami desde #Centroamérica hasta #Chile./Dejen de hacer pruebas.,Media,Caution and advice,Related and informative
243365090198429696,RT @Emol: #Terremoto en Costa Rica activa alerta de #tsunami para norte de Chile: aquí la noticia completa  http://t.co/LUBlZWur,Media,Caution and advice,Related and informative
243365094388543488,Boletín Nº1 NOAA-PTWC para el Mar Caribe 5-sep-2012 Wide Tsunami Watch in Effect #sismo #earthquake http://t.co/i20y2BQn,Media,Caution and advice,Related and informative
243365094396928001,"Please pray! A powerful, magnitude-7.9 earthquake has shaken #CostaRica, according to the USGS.",Outsiders,Sympathy and support,Related and informative
